[025500/100000]	Cells: 246  Coverage: 0.09384155%		Max Fitness: 0.07619591	Mean Fitness: 0.06609668	Min Fitness: 0.05728553	QD Score: 16.25978395
[026000/100000]	Cells: 248  Coverage: 0.09460449%		Max Fitness: 0.07619591	Mean Fitness: 0.06610177	Min Fitness: 0.05728553	QD Score: 16.39323887
[026500/100000]	Cells: 252  Coverage: 0.09613037%		Max Fitness: 0.07619591	Mean Fitness: 0.06608553	Min Fitness: 0.05728553	QD Score: 16.65355438
[027000/100000]	Cells: 256  Coverage: 0.09765625%		Max Fitness: 0.07619591	Mean Fitness: 0.06608052	Min Fitness: 0.05728553	QD Score: 16.91661220
[027500/100000]	Cells: 257  Coverage: 0.09803772%		Max Fitness: 0.07619591	Mean Fitness: 0.06608179	Min Fitness: 0.05728553	QD Score: 16.98301888
[028000/100000]	Cells: 259  Coverage: 0.09880066%		Max Fitness: 0.07619591	Mean Fitness: 0.06611152	Min Fitness: 0.05728553	QD Score: 17.12288255
[028500/100000]	Cells: 263  Coverage: 0.10032654%		Max Fitness: 0.07619591	Mean Fitness: 0.06613163	Min Fitness: 0.05728553	QD Score: 17.39261852
[029000/100000]	Cells: 268  Coverage: 0.10223389%		Max Fitness: 0.07619591	Mean Fitness: 0.06610294	Min Fitness: 0.05728553	QD Score: 17.71558703
[029500/100000]	Cells: 277  Coverage: 0.10566711%		Max Fitness: 0.07619591	Mean Fitness: 0.06605367	Min Fitness: 0.05728553	QD Score: 18.29686551
[030000/100000]	Cells: 279  Coverage: 0.10643005%		Max Fitness: 0.07619591	Mean Fitness: 0.06608016	Min Fitness: 0.05728553	QD Score: 18.43636461
[030500/100000]	Cells: 283  Coverage: 0.10795593%		Max Fitness: 0.07619591	Mean Fitness: 0.06603586	Min Fitness: 0.05728553	QD Score: 18.68814727
[031000/100000]	Cells: 287  Coverage: 0.10948181%		Max Fitness: 0.07619591	Mean Fitness: 0.06600100	Min Fitness: 0.05728553	QD Score: 18.94228594
[031500/100000]	Cells: 290  Coverage: 0.11062622%		Max Fitness: 0.07619591	Mean Fitness: 0.06599362	Min Fitness: 0.05728553	QD Score: 19.13815114
[032000/100000]	Cells: 294  Coverage: 0.11215210%		Max Fitness: 0.07619591	Mean Fitness: 0.06596272	Min Fitness: 0.05728553	QD Score: 19.39303884
[032500/100000]	Cells: 297  Coverage: 0.11329651%		Max Fitness: 0.07619591	Mean Fitness: 0.06597780	Min Fitness: 0.05728553	QD Score: 19.59540626
[033000/100000]	Cells: 300  Coverage: 0.11444092%		Max Fitness: 0.07619591	Mean Fitness: 0.06599083	Min Fitness: 0.05728553	QD Score: 19.79724931
[033500/100000]	Cells: 304  Coverage: 0.11596680%		Max Fitness: 0.07619591	Mean Fitness: 0.06593818	Min Fitness: 0.05728553	QD Score: 20.04520721
[034000/100000]	Cells: 307  Coverage: 0.11711121%		Max Fitness: 0.07648176	Mean Fitness: 0.06596898	Min Fitness: 0.05728553	QD Score: 20.25247595
[034500/100000]	Cells: 308  Coverage: 0.11749268%		Max Fitness: 0.07648176	Mean Fitness: 0.06598214	Min Fitness: 0.05728553	QD Score: 20.32249930
[035000/100000]	Cells: 310  Coverage: 0.11825562%		Max Fitness: 0.07648176	Mean Fitness: 0.06597163	Min Fitness: 0.05728553	QD Score: 20.45120429
