[040500/100000]	Cells: 352  Coverage: 0.13427734%		Max Fitness: 0.07660511	Mean Fitness: 0.06440557	Min Fitness: 0.05223801	QD Score: 22.67075994
[041000/100000]	Cells: 354  Coverage: 0.13504028%		Max Fitness: 0.07660511	Mean Fitness: 0.06437795	Min Fitness: 0.05223801	QD Score: 22.78979324
[041500/100000]	Cells: 356  Coverage: 0.13580322%		Max Fitness: 0.07660511	Mean Fitness: 0.06436854	Min Fitness: 0.05223801	QD Score: 22.91520157
[042000/100000]	Cells: 359  Coverage: 0.13694763%		Max Fitness: 0.07660511	Mean Fitness: 0.06433792	Min Fitness: 0.05223801	QD Score: 23.09731448
[042500/100000]	Cells: 362  Coverage: 0.13809204%		Max Fitness: 0.07660511	Mean Fitness: 0.06434446	Min Fitness: 0.05223801	QD Score: 23.29269347
[043000/100000]	Cells: 365  Coverage: 0.13923645%		Max Fitness: 0.07660511	Mean Fitness: 0.06432688	Min Fitness: 0.05223801	QD Score: 23.47930941
[043500/100000]	Cells: 369  Coverage: 0.14076233%		Max Fitness: 0.07660511	Mean Fitness: 0.06433878	Min Fitness: 0.05223801	QD Score: 23.74100900
[044000/100000]	Cells: 371  Coverage: 0.14152527%		Max Fitness: 0.07660511	Mean Fitness: 0.06434753	Min Fitness: 0.05223801	QD Score: 23.87293515
[044500/100000]	Cells: 373  Coverage: 0.14228821%		Max Fitness: 0.07660511	Mean Fitness: 0.06432375	Min Fitness: 0.05223801	QD Score: 23.99275727
[045000/100000]	Cells: 377  Coverage: 0.14381409%		Max Fitness: 0.07660511	Mean Fitness: 0.06426701	Min Fitness: 0.05223801	QD Score: 24.22866320
[045500/100000]	Cells: 379  Coverage: 0.14457703%		Max Fitness: 0.07660511	Mean Fitness: 0.06426174	Min Fitness: 0.05223801	QD Score: 24.35520099
[046000/100000]	Cells: 379  Coverage: 0.14457703%		Max Fitness: 0.07660511	Mean Fitness: 0.06426538	Min Fitness: 0.05223801	QD Score: 24.35657992
