[026000/100000]	Cells: 225  Coverage: 0.08583069%		Max Fitness: 0.09302088	Mean Fitness: 0.07277360	Min Fitness: 0.06065449	QD Score: 16.37406107
[026500/100000]	Cells: 227  Coverage: 0.08659363%		Max Fitness: 0.09302088	Mean Fitness: 0.07270761	Min Fitness: 0.06065449	QD Score: 16.50462794
[027000/100000]	Cells: 232  Coverage: 0.08850098%		Max Fitness: 0.09302088	Mean Fitness: 0.07262244	Min Fitness: 0.06065449	QD Score: 16.84840693
[027500/100000]	Cells: 234  Coverage: 0.08926392%		Max Fitness: 0.09302088	Mean Fitness: 0.07265464	Min Fitness: 0.06065449	QD Score: 17.00118460
[028000/100000]	Cells: 237  Coverage: 0.09040833%		Max Fitness: 0.09302088	Mean Fitness: 0.07264773	Min Fitness: 0.06065449	QD Score: 17.21751206
[028500/100000]	Cells: 239  Coverage: 0.09117126%		Max Fitness: 0.09302088	Mean Fitness: 0.07267403	Min Fitness: 0.06065449	QD Score: 17.36909293
[029000/100000]	Cells: 245  Coverage: 0.09346008%		Max Fitness: 0.09302088	Mean Fitness: 0.07251074	Min Fitness: 0.06065449	QD Score: 17.76513165
[029500/100000]	Cells: 249  Coverage: 0.09498596%		Max Fitness: 0.09302088	Mean Fitness: 0.07242411	Min Fitness: 0.06065449	QD Score: 18.03360264
[030000/100000]	Cells: 254  Coverage: 0.09689331%		Max Fitness: 0.09302088	Mean Fitness: 0.07253677	Min Fitness: 0.06065449	QD Score: 18.42433902
[030500/100000]	Cells: 258  Coverage: 0.09841919%		Max Fitness: 0.09302088	Mean Fitness: 0.07251765	Min Fitness: 0.06065449	QD Score: 18.70955388
[031000/100000]	Cells: 261  Coverage: 0.09956360%		Max Fitness: 0.09302088	Mean Fitness: 0.07260465	Min Fitness: 0.06065449	QD Score: 18.94981290
[031500/100000]	Cells: 262  Coverage: 0.09994507%		Max Fitness: 0.09302088	Mean Fitness: 0.07265101	Min Fitness: 0.06065449	QD Score: 19.03456435
[032000/100000]	Cells: 266  Coverage: 0.10147095%		Max Fitness: 0.09302088	Mean Fitness: 0.07269412	Min Fitness: 0.06033642	QD Score: 19.33663682
