[039000/100000]	Cells: 372  Coverage: 0.14190674%		Max Fitness: 0.07820486	Mean Fitness: 0.06601954	Min Fitness: 0.05490977	QD Score: 24.55926904
[039500/100000]	Cells: 372  Coverage: 0.14190674%		Max Fitness: 0.07820486	Mean Fitness: 0.06604470	Min Fitness: 0.05490977	QD Score: 24.56862761
[040000/100000]	Cells: 373  Coverage: 0.14228821%		Max Fitness: 0.07820486	Mean Fitness: 0.06607018	Min Fitness: 0.05490977	QD Score: 24.64417841
[040500/100000]	Cells: 377  Coverage: 0.14381409%		Max Fitness: 0.07820486	Mean Fitness: 0.06602710	Min Fitness: 0.05490977	QD Score: 24.89221682
[041000/100000]	Cells: 377  Coverage: 0.14381409%		Max Fitness: 0.07820486	Mean Fitness: 0.06603817	Min Fitness: 0.05490977	QD Score: 24.89639191
[041500/100000]	Cells: 380  Coverage: 0.14495850%		Max Fitness: 0.07820486	Mean Fitness: 0.06603462	Min Fitness: 0.05490977	QD Score: 25.09315464
[042000/100000]	Cells: 381  Coverage: 0.14533997%		Max Fitness: 0.07820486	Mean Fitness: 0.06602777	Min Fitness: 0.05490977	QD Score: 25.15658057
[042500/100000]	Cells: 385  Coverage: 0.14686584%		Max Fitness: 0.07820486	Mean Fitness: 0.06600702	Min Fitness: 0.05490977	QD Score: 25.41270086
[043000/100000]	Cells: 386  Coverage: 0.14724731%		Max Fitness: 0.07820486	Mean Fitness: 0.06604822	Min Fitness: 0.05490977	QD Score: 25.49461149
[043500/100000]	Cells: 388  Coverage: 0.14801025%		Max Fitness: 0.07820486	Mean Fitness: 0.06606203	Min Fitness: 0.05490977	QD Score: 25.63206654
[044000/100000]	Cells: 390  Coverage: 0.14877319%		Max Fitness: 0.07820486	Mean Fitness: 0.06606375	Min Fitness: 0.05490977	QD Score: 25.76486055
[044500/100000]	Cells: 390  Coverage: 0.14877319%		Max Fitness: 0.07820486	Mean Fitness: 0.06606375	Min Fitness: 0.05490977	QD Score: 25.76486055
[045000/100000]	Cells: 393  Coverage: 0.14991760%		Max Fitness: 0.07820486	Mean Fitness: 0.06602525	Min Fitness: 0.05490977	QD Score: 25.94792210
[045500/100000]	Cells: 394  Coverage: 0.15029907%		Max Fitness: 0.07820486	Mean Fitness: 0.06603858	Min Fitness: 0.05490977	QD Score: 26.01920001
[046000/100000]	Cells: 399  Coverage: 0.15220642%		Max Fitness: 0.07820486	Mean Fitness: 0.06603297	Min Fitness: 0.05490977	QD Score: 26.34715383
