[026500/100000]	Cells: 254  Coverage: 0.09689331%		Max Fitness: 0.07698192	Mean Fitness: 0.06542692	Min Fitness: 0.05573948	QD Score: 16.61843772
[027000/100000]	Cells: 255  Coverage: 0.09727478%		Max Fitness: 0.07698192	Mean Fitness: 0.06549909	Min Fitness: 0.05573948	QD Score: 16.70226885
[027500/100000]	Cells: 257  Coverage: 0.09803772%		Max Fitness: 0.07698192	Mean Fitness: 0.06550211	Min Fitness: 0.05573948	QD Score: 16.83404135
[028000/100000]	Cells: 262  Coverage: 0.09994507%		Max Fitness: 0.07698192	Mean Fitness: 0.06545874	Min Fitness: 0.05573948	QD Score: 17.15019026
[028500/100000]	Cells: 266  Coverage: 0.10147095%		Max Fitness: 0.07698192	Mean Fitness: 0.06544797	Min Fitness: 0.05573948	QD Score: 17.40916082
[029000/100000]	Cells: 271  Coverage: 0.10337830%		Max Fitness: 0.07698192	Mean Fitness: 0.06539849	Min Fitness: 0.05573948	QD Score: 17.72299024
[029500/100000]	Cells: 274  Coverage: 0.10452271%		Max Fitness: 0.07698192	Mean Fitness: 0.06536937	Min Fitness: 0.05573948	QD Score: 17.91120633
[030000/100000]	Cells: 277  Coverage: 0.10566711%		Max Fitness: 0.07698192	Mean Fitness: 0.06537467	Min Fitness: 0.05573948	QD Score: 18.10878412
[030500/100000]	Cells: 281  Coverage: 0.10719299%		Max Fitness: 0.07698192	Mean Fitness: 0.06538443	Min Fitness: 0.05573948	QD Score: 18.37302393
[031000/100000]	Cells: 283  Coverage: 0.10795593%		Max Fitness: 0.07698192	Mean Fitness: 0.06543226	Min Fitness: 0.05573948	QD Score: 18.51733069
[031500/100000]	Cells: 288  Coverage: 0.10986328%		Max Fitness: 0.07810047	Mean Fitness: 0.06543731	Min Fitness: 0.05573948	QD Score: 18.84594513
[032000/100000]	Cells: 291  Coverage: 0.11100769%		Max Fitness: 0.07810047	Mean Fitness: 0.06545807	Min Fitness: 0.05573948	QD Score: 19.04829799
[032500/100000]	Cells: 293  Coverage: 0.11177063%		Max Fitness: 0.07810047	Mean Fitness: 0.06546324	Min Fitness: 0.05573948	QD Score: 19.18072993
[033000/100000]	Cells: 295  Coverage: 0.11253357%		Max Fitness: 0.07810047	Mean Fitness: 0.06550303	Min Fitness: 0.05573948	QD Score: 19.32339422
[033500/100000]	Cells: 299  Coverage: 0.11405945%		Max Fitness: 0.07810047	Mean Fitness: 0.06551917	Min Fitness: 0.05573948	QD Score: 19.59023077
[034000/100000]	Cells: 301  Coverage: 0.11482239%		Max Fitness: 0.07810047	Mean Fitness: 0.06554793	Min Fitness: 0.05573948	QD Score: 19.72992721
[034500/100000]	Cells: 302  Coverage: 0.11520386%		Max Fitness: 0.07810047	Mean Fitness: 0.06554643	Min Fitness: 0.05573948	QD Score: 19.79502189
[035000/100000]	Cells: 304  Coverage: 0.11596680%		Max Fitness: 0.07810047	Mean Fitness: 0.06553805	Min Fitness: 0.05573948	QD Score: 19.92356710
[035500/100000]	Cells: 306  Coverage: 0.11672974%		Max Fitness: 0.07810047	Mean Fitness: 0.06552125	Min Fitness: 0.05573948	QD Score: 20.04950257
