[032500/100000]	Cells: 298  Coverage: 0.11367798%		Max Fitness: 0.07734258	Mean Fitness: 0.06651743	Min Fitness: 0.05645941	QD Score: 19.82219560
[033000/100000]	Cells: 300  Coverage: 0.11444092%		Max Fitness: 0.07734258	Mean Fitness: 0.06655743	Min Fitness: 0.05645941	QD Score: 19.96722933
[033500/100000]	Cells: 303  Coverage: 0.11558533%		Max Fitness: 0.07734258	Mean Fitness: 0.06656219	Min Fitness: 0.05645941	QD Score: 20.16834296
[034000/100000]	Cells: 305  Coverage: 0.11634827%		Max Fitness: 0.07734258	Mean Fitness: 0.06655269	Min Fitness: 0.05645941	QD Score: 20.29856905
[034500/100000]	Cells: 306  Coverage: 0.11672974%		Max Fitness: 0.07734258	Mean Fitness: 0.06655462	Min Fitness: 0.05645941	QD Score: 20.36571236
[035000/100000]	Cells: 307  Coverage: 0.11711121%		Max Fitness: 0.07734258	Mean Fitness: 0.06657155	Min Fitness: 0.05645941	QD Score: 20.43746452
[035500/100000]	Cells: 311  Coverage: 0.11863708%		Max Fitness: 0.07734258	Mean Fitness: 0.06656829	Min Fitness: 0.05645941	QD Score: 20.70273793
[036000/100000]	Cells: 314  Coverage: 0.11978149%		Max Fitness: 0.07734258	Mean Fitness: 0.06651985	Min Fitness: 0.05645941	QD Score: 20.88723291
[036500/100000]	Cells: 316  Coverage: 0.12054443%		Max Fitness: 0.07734258	Mean Fitness: 0.06657088	Min Fitness: 0.05645941	QD Score: 21.03639838
[037000/100000]	Cells: 318  Coverage: 0.12130737%		Max Fitness: 0.07734258	Mean Fitness: 0.06656302	Min Fitness: 0.05645941	QD Score: 21.16704178
[037500/100000]	Cells: 320  Coverage: 0.12207031%		Max Fitness: 0.07734258	Mean Fitness: 0.06657292	Min Fitness: 0.05645941	QD Score: 21.30333296
[038000/100000]	Cells: 321  Coverage: 0.12245178%		Max Fitness: 0.07734258	Mean Fitness: 0.06659953	Min Fitness: 0.05645941	QD Score: 21.37844820
[038500/100000]	Cells: 325  Coverage: 0.12397766%		Max Fitness: 0.07734258	Mean Fitness: 0.06657921	Min Fitness: 0.05645941	QD Score: 21.63824168
[039000/100000]	Cells: 327  Coverage: 0.12474060%		Max Fitness: 0.07734258	Mean Fitness: 0.06662264	Min Fitness: 0.05645941	QD Score: 21.78560489
[039500/100000]	Cells: 332  Coverage: 0.12664795%		Max Fitness: 0.07734258	Mean Fitness: 0.06661564	Min Fitness: 0.05645941	QD Score: 22.11639143
[040000/100000]	Cells: 336  Coverage: 0.12817383%		Max Fitness: 0.07734258	Mean Fitness: 0.06656708	Min Fitness: 0.05645941	QD Score: 22.36653765
[040500/100000]	Cells: 338  Coverage: 0.12893677%		Max Fitness: 0.07734258	Mean Fitness: 0.06655965	Min Fitness: 0.05645941	QD Score: 22.49716228
[041000/100000]	Cells: 340  Coverage: 0.12969971%		Max Fitness: 0.07734258	Mean Fitness: 0.06653388	Min Fitness: 0.05645941	QD Score: 22.62151795
[041500/100000]	Cells: 343  Coverage: 0.13084412%		Max Fitness: 0.07734258	Mean Fitness: 0.06650492	Min Fitness: 0.05645941	QD Score: 22.81118900
[042000/100000]	Cells: 348  Coverage: 0.13275146%		Max Fitness: 0.07734258	Mean Fitness: 0.06642984	Min Fitness: 0.05645941	QD Score: 23.11758402
[042500/100000]	Cells: 351  Coverage: 0.13389587%		Max Fitness: 0.07734258	Mean Fitness: 0.06646414	Min Fitness: 0.05645941	QD Score: 23.32891423
[043000/100000]	Cells: 355  Coverage: 0.13542175%		Max Fitness: 0.07734258	Mean Fitness: 0.06644514	Min Fitness: 0.05645941	QD Score: 23.58802432
[043500/100000]	Cells: 357  Coverage: 0.13618469%		Max Fitness: 0.07734258	Mean Fitness: 0.06643919	Min Fitness: 0.05645941	QD Score: 23.71879097
[044000/100000]	Cells: 358  Coverage: 0.13656616%		Max Fitness: 0.07734258	Mean Fitness: 0.06642692	Min Fitness: 0.05645941	QD Score: 23.78083713
[044500/100000]	Cells: 363  Coverage: 0.13847351%		Max Fitness: 0.07734258	Mean Fitness: 0.06635792	Min Fitness: 0.05584767	QD Score: 24.08792383
[045000/100000]	Cells: 364  Coverage: 0.13885498%		Max Fitness: 0.07734258	Mean Fitness: 0.06635044	Min Fitness: 0.05584767	QD Score: 24.15155886
[045500/100000]	Cells: 367  Coverage: 0.13999939%		Max Fitness: 0.07734258	Mean Fitness: 0.06635343	Min Fitness: 0.05584767	QD Score: 24.35171024
[046000/100000]	Cells: 370  Coverage: 0.14114380%		Max Fitness: 0.07734258	Mean Fitness: 0.06634753	Min Fitness: 0.05584767	QD Score: 24.54858522
[046500/100000]	Cells: 375  Coverage: 0.14305115%		Max Fitness: 0.07734258	Mean Fitness: 0.06636761	Min Fitness: 0.05584767	QD Score: 24.88785245
[047000/100000]	Cells: 380  Coverage: 0.14495850%		Max Fitness: 0.07734258	Mean Fitness: 0.06631079	Min Fitness: 0.05584767	QD Score: 25.19809971
[047500/100000]	Cells: 383  Coverage: 0.14610291%		Max Fitness: 0.07734258	Mean Fitness: 0.06632671	Min Fitness: 0.05584767	QD Score: 25.40312885
[048000/100000]	Cells: 385  Coverage: 0.14686584%		Max Fitness: 0.07734258	Mean Fitness: 0.06636567	Min Fitness: 0.05584767	QD Score: 25.55078400
[048500/100000]	Cells: 386  Coverage: 0.14724731%		Max Fitness: 0.07734258	Mean Fitness: 0.06638735	Min Fitness: 0.05584767	QD Score: 25.62551606
[049000/100000]	Cells: 389  Coverage: 0.14839172%		Max Fitness: 0.07734258	Mean Fitness: 0.06635935	Min Fitness: 0.05584767	QD Score: 25.81378679
[049500/100000]	Cells: 390  Coverage: 0.14877319%		Max Fitness: 0.07734258	Mean Fitness: 0.06637716	Min Fitness: 0.05584767	QD Score: 25.88709420
[050000/100000]	Cells: 392  Coverage: 0.14953613%		Max Fitness: 0.07734258	Mean Fitness: 0.06636257	Min Fitness: 0.05584767	QD Score: 26.01412772
[050500/100000]	Cells: 398  Coverage: 0.15182495%		Max Fitness: 0.07734258	Mean Fitness: 0.06637717	Min Fitness: 0.05584767	QD Score: 26.41811532
[051000/100000]	Cells: 400  Coverage: 0.15258789%		Max Fitness: 0.07734258	Mean Fitness: 0.06635269	Min Fitness: 0.05584767	QD Score: 26.54107672
[051500/100000]	Cells: 403  Coverage: 0.15373230%		Max Fitness: 0.07734258	Mean Fitness: 0.06632171	Min Fitness: 0.05584767	QD Score: 26.72764814
[052000/100000]	Cells: 408  Coverage: 0.15563965%		Max Fitness: 0.07734258	Mean Fitness: 0.06630388	Min Fitness: 0.05584767	QD Score: 27.05198232
[052500/100000]	Cells: 409  Coverage: 0.15602112%		Max Fitness: 0.07734258	Mean Fitness: 0.06628348	Min Fitness: 0.05584767	QD Score: 27.10994519
[053000/100000]	Cells: 409  Coverage: 0.15602112%		Max Fitness: 0.07734258	Mean Fitness: 0.06630858	Min Fitness: 0.05584767	QD Score: 27.12020921
[053500/100000]	Cells: 414  Coverage: 0.15792847%		Max Fitness: 0.07734258	Mean Fitness: 0.06627660	Min Fitness: 0.05584767	QD Score: 27.43851440
